,region,unemployed,infections,deaths,healed,population,procent_unemployed,procent_infections,procent_healed,procent_deaths,fin_blago,depo_mean,depo_salary,income_fix,poverty_proc,ex_poverty_proc,social_exp,growth_social_exp,soc_in_total_exp,vrp,vrp_norm
0,Адыгея,17898,5828.0,49.0,4557.0,463088.0,0.0386492416128252,0.0125850810213177,0.0098404622879452,0.000105811422451,34.959291448989205,54.13225995923021,1.8362523413268503,1.541341022680536,12.5,1.9,46.72,16.3,62.6,143000.0,0.3087966002142141
1,Алтай,15186,7296.0,24.0,6207.0,220181.0,0.0689705287922209,0.0331363741648916,0.0281904433170891,0.0001090012308055,9.430103499283916,46.45723291292164,2.267008230370333,1.0071066698642228,24.1,4.2,42.0,10.8,64.1,63000.0,0.28612823086460687
2,Алтайский край,47654,18628.0,384.0,17392.0,2317153.0,0.0205657546135278,0.0080391756608217,0.0075057624593628,0.0001657206062784,24.56877209605217,85.21275893305275,3.559504539904875,1.304013239539315,17.5,2.6,41.37,14.5,71.7,672000.0,0.290011060987341
3,Амурская,25986,7313.0,65.0,6864.0,790044.0,0.0328918389355529,0.0092564464763987,0.0086881236994395,8.22738986689349e-05,44.579305086409015,136.03672706836582,4.147556028517903,1.5472828910190064,15.8,2.6,44.35,15.8,58.9,449000.0,0.568322776959258
4,Архангельская,22140,21299.0,262.0,13985.0,1092424.0,0.0202668560925062,0.0194970084875469,0.0128018058922176,0.0002398336177161,49.56642086752238,165.96944043704642,4.990173874547574,1.5634246109747558,12.7,1.4,40.57,12.8,67.1,559000.0,0.5117060774937204
5,Астраханская,49788,9527.0,173.0,7323.0,1005782.0,0.0495017807039696,0.0094722315571366,0.0072809018256441,0.0001720054644048,34.508840659457434,92.23469897055227,3.712292805431604,1.3987110744809603,15.5,1.9,46.82,13.6,69.8,528000.0,0.5249646543684416
6,Башкортостан,111833,10413.0,59.0,9899.0,4038151.0,0.0276941104976015,0.0025786554291803,0.0024513694510185,1.4610647298726573e-05,41.201444737933855,103.2623594313338,3.387817110327383,1.560350666399309,12.1,1.8,43.41,16.3,65.2,1712.0,0.00042395640975287943
7,Белгородская,24023,11598.0,93.0,9505.0,1549151.0,0.0155072036231458,0.0074866814145296,0.0061356188002331,6.003288252726816e-05,58.15527072223347,163.1642105901878,5.002581879758027,1.791162190936102,7.7,0.8,54.69,18.7,57.4,979000.0,0.6319590537010272
8,Брянская,37109,12590.0,73.0,9848.0,1192491.0,0.0311188931404933,0.010557731672608,0.0082583432495507,6.121639492457386e-05,38.02771886324425,104.00665497685098,3.697455672541962,1.5115674177128102,13.8,1.8,40.29,10.1,58.7,412000.0,0.34549526998526614
9,Бурятия,43110,12034.0,208.0,10222.0,985937.0,0.0437249033153233,0.0122056480282208,0.0103678024052246,0.0002109668264807,23.92079907436136,67.23147625051092,2.6868140492356325,1.3113434718684611,20.1,3.1,45.87,25.1,70.8,303000.0,0.30732186742154927
10,Владимирская,40266,9552.0,239.0,7271.0,1358416.0,0.0296418770096936,0.0070317192965925,0.0053525576848329,0.0001759402127183,43.37526994203146,157.68439123214094,6.114049407035185,1.346675657763638,12.6,1.2,45.56,8.8,71.2,554000.0,0.4078279407780827
11,Волгоградская,64846,19640.0,215.0,17922.0,2491036.0,0.0260317394048098,0.0078842698379308,0.0071945969468124,8.630947124007843e-05,42.71367481219082,112.43554890415072,4.640105190782594,1.394460073145849,13.0,1.4,38.89,7.5,62.2,979000.0,0.3930091736931943
12,Вологодская,32517,8994.0,132.0,5753.0,1160445.0,0.028021147059964,0.0077504750332846,0.004957580928006,0.0001137494667993,47.77773898482811,149.01869541425918,5.3414111891844325,1.4536550487289774,13.1,1.4,51.46,19.1,64.1,629000.0,0.5420334440667158
13,Воронежская,59481,24730.0,402.0,23260.0,2324205.0,0.0255919766113574,0.0106401974008316,0.0100077230708995,0.0001729623677773,54.27269230140324,160.9913927558025,5.012575473053709,1.6569180336896836,9.0,1.1,46.09,14.7,63.8,1064.0,0.0004577909435699519
14,Дагестан,225636,14567.0,719.0,13197.0,3110858.0,0.0725317581194641,0.0046826309654764,0.0042422379935053,0.0002311259466037,22.32051079373712,23.47969595526379,0.8328126752064338,1.48965419344246,14.5,2.2,35.67,10.8,70.8,748000.0,0.2404481336017266
15,Еврейская АО,5014,2036.0,42.0,1243.0,158305.0,0.0316730362275354,0.0128612488550582,0.0078519313982502,0.0002653106345346,25.17515988699021,94.85486876598968,3.634320971120018,1.1992064125925324,23.9,3.3,46.5,14.4,64.7,63000.0,0.3979659518019014
16,Забайкальский край,42188,12489.0,149.0,8957.0,1059700.0,0.0398112673398131,0.0117854109653675,0.0084523921864678,0.0001406058318391,25.9358200451686,80.47938095687458,3.140658769048764,1.351161408895112,21.5,3.3,45.78,13.7,66.2,425000.0,0.4010569028970464
