,region,unemployed,infections,deaths,healed,population,procent_unemployed,procent_infections,procent_healed,procent_deaths,depo_mean_20,depo_salary_20,income_fix_20,poverty_proc_20,ex_poverty_proc_20,social_exp_20,growth_social_exp_20,soc_in_total_exp_20
0,Адыгея,17898,5828.0,49.0,4557.0,463088.0,0.0386492416128252,0.0125850810213177,0.0098404622879452,0.000105811422451,64.28134992346172,1.9481853562898488,1.541341022680536,12.5,1.9,59.07,3.0,59.9
1,Алтай,15186,7296.0,24.0,6207.0,220181.0,0.0689705287922209,0.0331363741648916,0.0281904433170891,0.0001090012308055,53.26900621848892,2.381802200692552,1.0071066698642228,24.1,4.2,53.75,3.4,63.6
2,Алтайский край,47654,18628.0,384.0,17392.0,2317153.0,0.0205657546135278,0.0080391756608217,0.0075057624593628,0.0001657206062784,102.213379214781,4.111394522134307,1.304013239539315,17.5,2.6,54.32,9.6,71.3
3,Амурская,25986,7313.0,65.0,6864.0,790044.0,0.0328918389355529,0.0092564464763987,0.0086881236994395,8.22738986689349e-05,161.8119169248164,4.304166645825263,1.5472828910190064,15.8,2.6,66.85,15.7,55.1
4,Архангельская,22140,21299.0,262.0,13985.0,1092424.0,0.0202668560925062,0.0194970084875469,0.0128018058922176,0.0002398336177161,191.1455283366369,5.261513620981501,1.5634246109747558,12.7,1.4,54.91,8.1,66.4
5,Астраханская,49788,9527.0,173.0,7323.0,1005782.0,0.0495017807039696,0.0094722315571366,0.0072809018256441,0.0001720054644048,103.54908606924586,3.98583816196564,1.3987110744809603,15.5,1.9,64.73,5.9,70.7
6,Башкортостан,111833,10413.0,59.0,9899.0,4038151.0,0.0276941104976015,0.0025786554291803,0.0024513694510185,1.4610647298726573e-05,117.080482118379,3.724496611872945,1.560350666399309,12.1,1.8,52.4,-0.2,67.4
7,Белгородская,24023,11598.0,93.0,9505.0,1549151.0,0.0155072036231458,0.0074866814145296,0.0061356188002331,6.003288252726816e-05,193.33220438615444,5.610418154243516,1.791162190936102,7.7,0.8,75.3,15.6,64.7
8,Брянская,37109,12590.0,73.0,9848.0,1192491.0,0.0311188931404933,0.010557731672608,0.0082583432495507,6.121639492457386e-05,118.05117521024248,3.8999075068835736,1.5115674177128102,13.8,1.8,56.33,10.5,65.5
9,Бурятия,43110,12034.0,208.0,10222.0,985937.0,0.0437249033153233,0.0122056480282208,0.0103678024052246,0.0002109668264807,78.84468826330813,2.9264329543118386,1.3113434718684611,20.1,3.1,62.72,12.0,75.3
10,Владимирская,40266,9552.0,239.0,7271.0,1358416.0,0.0296418770096936,0.0070317192965925,0.0053525576848329,0.0001759402127183,168.06807843534642,6.075609924369284,1.346675657763638,12.6,1.2,60.85,13.2,73.6
11,Волгоградская,64846,19640.0,215.0,17922.0,2491036.0,0.0260317394048098,0.0078842698379308,0.0071945969468124,8.630947124007843e-05,123.184926912141,4.661019795190503,1.394460073145849,13.0,1.4,53.49,7.6,65.1
12,Вологодская,32517,8994.0,132.0,5753.0,1160445.0,0.028021147059964,0.0077504750332846,0.004957580928006,0.0001137494667993,168.59593307629086,5.53199786971243,1.4536550487289774,13.1,1.4,67.27,7.4,62.8
13,Воронежская,59481,24730.0,402.0,23260.0,2324205.0,0.0255919766113574,0.0106401974008316,0.0100077230708995,0.0001729623677773,192.2187119406248,5.668329212958178,1.6569180336896836,9.0,1.1,59.46,6.9,67.6
14,Дагестан,225636,14567.0,719.0,13197.0,3110858.0,0.0725317581194641,0.0046826309654764,0.0042422379935053,0.0002311259466037,28.584532041746364,0.968023774854891,1.48965419344246,14.5,2.2,52.82,-1.3,76.3
15,Еврейская АО,5014,2036.0,42.0,1243.0,158305.0,0.0316730362275354,0.0128612488550582,0.0078519313982502,0.0002653106345346,113.27156549520768,3.8898870342968688,1.1992064125925324,23.9,3.3,72.47,9.6,68.3
16,Забайкальский край,42188,12489.0,149.0,8957.0,1059700.0,0.0398112673398131,0.0117854109653675,0.0084523921864678,0.0001406058318391,92.85846499950163,3.336541954474876,1.351161408895112,21.5,3.3,63.19,16.1,69.9
17,Ивановская,34966,11268.0,208.0,8648.0,997135.0,0.0350664654234381,0.0113003755760253,0.0086728477086853,0.0002085976322162,151.3415978407995,5.441691309019632,1.3839684222263042,14.2,1.7,51.7,4.4,68.0
18,Ингушетия,61636,7032.0,84.0,5826.0,507061.0,0.1215553947158231,0.0138681539301977,0.0114897418653771,0.0001656605418283,12.73168801545492,0.7207397792470837,1.0465350867000949,30.5,4.8,79.52,9.8,83.4
19,Иркутская,64698,22971.0,491.0,19990.0,2391193.0,0.0270567871351246,0.0096065018591138,0.0083598438101817,0.0002053368339569,144.95324462394225,5.065815496747825,1.3961279658437364,18.1,2.5,68.66,3.8,68.8
20,Кабардино-Балкария,74951,9417.0,138.0,7177.0,868350.0,0.0863142741981919,0.0108447054759025,0.0082651004779178,0.0001589220936258,47.17029973849246,2.053695266930468,1.2239624842619052,24.3,3.4,58.77,4.5,74.1
21,Калининградская,44751,7624.0,85.0,5356.0,1012512.0,0.0441979946904333,0.0075297873012863,0.0052898138491198,8.394962232546379e-05,237.4732973108821,7.762975345642671,1.423946918212453,13.8,1.6,61.77,9.0,41.2
22,Калмыкия,9418,8310.0,106.0,5643.0,271135.0,0.0347354638833053,0.0306489387205635,0.0208125103730613,0.0003909491581684,54.46619058907194,2.6311533822406195,1.0172434042090168,23.5,3.2,69.62,-0.3,67.0
23,Калужская,19947,11655.0,82.0,9869.0,1002575.0,0.0198957683963793,0.0116250654564496,0.0098436525945689,8.178939231478942e-05,183.66800535475232,5.394344947383561,1.5854984396292588,10.2,1.0,65.0,4.7,60.6
24,Камчатский край,5072,5673.0,59.0,4781.0,313016.0,0.016203644542132,0.0181236741891788,0.0152739796048764,0.0001884887673473,307.9568898856793,5.36127313044131,1.634188038142666,15.0,2.0,35.48,9.3,48.8
25,Карачаево-Черкессия,29614,8977.0,26.0,6933.0,465528.0,0.0636137890739117,0.0192834802632709,0.01489276692272,5.585056108332904e-05,39.78236063925115,2.051430225048403,1.0625741444424,23.2,3.3,55.33,3.3,62.1
26,Карелия,22376,9696.0,56.0,5660.0,614064.0,0.0364391985200239,0.0157898850934104,0.0092172802834883,9.11957059850439e-05,172.48892165281225,5.144968319957414,1.4981493304607514,15.7,1.7,59.05,3.9,62.8
27,Кемеровская,92002,14704.0,241.0,11569.0,2657854.0,0.0346151443984507,0.0055322828116217,0.0043527597828925,9.067465707296188e-05,128.8809415495894,4.862789501371117,1.4405445151354148,14.0,1.5,65.58,-2.9,66.4
28,Кировская,30963,12483.0,154.0,8602.0,1262402.0,0.0245270523969385,0.0098882923189285,0.006813994274407,0.0001219896673167,125.8721792903862,4.967135444157146,1.353749673641122,14.7,1.5,52.51,12.2,68.6
