region,week,sum_infections,sum_unemployed,sum_deaths,rnd_var
Адыгея,2020-04-06,42.0,454,0.0,54.733333333333334
Адыгея,2020-04-13,278.0,1550,2.0,52.96875
Адыгея,2020-04-20,80.0,1233,2.0,43.0625
Адыгея,2020-04-27,42.0,993,1.0,49.39393939393939
Адыгея,2020-05-04,21.0,512,0.0,50.0
Адыгея,2020-05-11,209.0,990,2.0,47.59375
Адыгея,2020-05-18,276.0,834,3.0,49.28125
Адыгея,2020-05-25,266.0,772,1.0,51.36363636363637
Адыгея,2020-06-01,158.0,860,0.0,42.34375
Адыгея,2020-06-08,104.0,544,1.0,44.3448275862069
Адыгея,2020-06-15,323.0,720,1.0,50.696969696969695
Адыгея,2020-06-22,229.0,612,0.0,54.833333333333336
Адыгея,2020-06-29,278.0,512,0.0,51.375
Адыгея,2020-07-06,85.0,678,2.0,45.5
Адыгея,2020-07-13,293.0,553,2.0,50.15625
Адыгея,2020-07-20,126.0,550,2.0,48.241379310344826
Адыгея,2020-07-27,220.0,610,4.0,48.483870967741936
Адыгея,2020-08-03,143.0,651,0.0,54.206896551724135
Адыгея,2020-08-10,165.0,525,0.0,52.5
Адыгея,2020-08-17,262.0,457,1.0,56.851851851851855
Адыгея,2020-08-24,125.0,427,2.0,54.407407407407405
Адыгея,2020-08-31,132.0,360,2.0,49.48
Адыгея,2020-09-07,74.0,386,0.0,60.04
Адыгея,2020-09-14,291.0,368,4.0,51.892857142857146
Адыгея,2020-09-21,155.0,370,1.0,49.310344827586206
Адыгея,2020-09-28,195.0,324,0.0,43.111111111111114
Адыгея,2020-10-05,72.0,315,2.0,55.95
Адыгея,2020-10-12,319.0,290,4.0,50.6
Адыгея,2020-10-19,362.0,283,3.0,47.09090909090909
Адыгея,2020-10-26,503.0,165,7.0,51.04761904761905
Алтай,2020-04-06,16.0,158,0.0,48.2962962962963
Алтай,2020-04-13,414.0,860,3.0,44.903225806451616
Алтай,2020-04-20,4.0,758,0.0,47.6875
Алтай,2020-04-27,23.0,717,0.0,60.233333333333334
Алтай,2020-05-04,5.0,424,0.0,53.935483870967744
Алтай,2020-05-11,325.0,656,0.0,52.8
Алтай,2020-05-18,132.0,632,2.0,45.266666666666666
Алтай,2020-05-25,24.0,586,0.0,46.535714285714285
Алтай,2020-06-01,20.0,636,0.0,51.935483870967744
Алтай,2020-06-08,46.0,398,0.0,43.63333333333333
Алтай,2020-06-15,424.0,607,2.0,46.63333333333333
Алтай,2020-06-22,161.0,536,0.0,44.55172413793103
